name,frequency,operator,ref,typ,v_nom,wkt_srid_4326,x,y,control,generator
NamDinh1,50,EVN,EVN,substation,500.0,SRID=4326;POINT(12.1869848227216 53.8157751724384),106.201802,20.107869,PQ,
LongPhu,50,EVN,EVN,substation,500.0,SRID=4326;POINT(12.4993659669539 52.4052284251973),106.07921100000002,9.710861,PQ,
DucHoa,50,EVN,EVN,substation,500.0,SRID=4326;POINT(13.5061534469385 52.473822309174),106.416844,10.854121000000001,PQ,
TanUyen,50,EVN,EVN,substation,500.0,SRID=4326;POINT(13.3057532949594 52.2307818451873),106.765621,10.998271,PQ,
LongThanh,50,EVN,EVN,substation,500.0,SRID=4326;POINT(13.5241987309997 52.5356342713481),107.40591299999998,10.964628999999999,PQ,
ThaiBinh,50,EVN,EVN,substation,500.0,SRID=4326;POINT(13.4564306927748 52.5214517451981),106.56290700000001,20.492055999999998,PQ,
ThanhHoa,50,EVN,EVN,substation,500.0,SRID=4326;POINT(13.5370442127043 52.5374565238016),105.706686,19.792286999999998,PQ,
HaiPhong,50,EVN,EVN,substation,500.0,SRID=4326;POINT(10.99933301239 52.2001419745622),106.67775,20.805032,PQ,
HaiPhongT,50,EVN,EVN,plant,500.0,SRID=4326;POINT(10.9772332275028 52.1694333176707),106.739898,20.786876,PQ,
BacNinh,50,EVN,EVN,substation,500.0,SRID=4326;POINT(9.25938382024592 51.0603668474477),106.069725,21.175659,PQ,
VinhYen,50,EVN,EVN,substation,500.0,SRID=4326;POINT(8.3133401659254 49.0090434643525),105.596079,21.314868,PQ,
VungAng3T,50,EVN,EVN,substation,500.0,SRID=4326;POINT(7.75349546540486 48.0993557006259),106.38355200000001,18.091779000000002,PQ,
QuangTrachT,50,EVN,EVN,plant,500.0,SRID=4326;POINT(8.43846751211921 49.2524597288652),106.505245,17.933962,PQ,
QuangTri,50,EVN,EVN,substation,500.0,SRID=4326;POINT(8.51211132935593 49.293965649573),107.137795,16.769201000000002,PQ,
QuangTriT,50,EVN,EVN,substation,500.0,SRID=4326;POINT(8.62320967451897 49.3565822492832),107.191399,16.899221,PQ,
KrongBuk,50,EVN,EVN,substation,500.0,SRID=4326;POINT(8.44554248929306 48.9860881753906),108.20030600000001,13.016296,PQ,
MienTrungG,50,EVN,EVN,substation,500.0,SRID=4326;POINT(8.64158406338239 48.8900524832355),108.63450700000001,15.489742000000001,PQ,
TayNinh1,50,EVN,EVN,substation,500.0,SRID=4326;POINT(8.56374399744213 53.0317215835514),106.019492,11.516328999999999,PQ,
BacAi PSH,50,EVN,EVN,substation,500.0,SRID=4326;POINT(8.47470704898602 53.4286511943138),108.95528200000001,11.866006,PQ,
BinhDuong1,50,EVN,EVN,substation,500.0,SRID=4326;POINT(8.51888180951659 53.2026352836834),106.684192,11.243443,PQ,
DongNai2,50,EVN,EVN,substation,500.0,SRID=4326;POINT(8.82002487241632 53.1073882918815),107.31675600000001,11.156622,PQ,
BacChauDuc,50,EVN,EVN,substation,500.0,SRID=4326;POINT(8.12076909802284 48.7048354259965),107.24756299999999,10.627748,PQ,
SonMyT,50,EVN,EVN,substation,500.0,SRID=4326;POINT(11.4407746483177 48.1718035473026),107.699253,10.63477,PQ,
LongAn,50,EVN,EVN,substation,500.0,SRID=4326;POINT(13.3264049984725 50.3463721850552),106.649813,10.566421,PQ,
ThotNot,50,EVN,EVN,substation,500.0,SRID=4326;POINT(12.1147644054101 49.6311550521523),105.551673,10.202802,PQ,
NamHaNoi,50,EVN,EVN,substation,500.0,SRID=4326;POINT(8.69516075602312 53.0925360847799),105.750228,20.693770999999998,PQ,
SonTay,50,EVN,EVN,substation,500.0,SRID=4326;POINT(8.77244296019056 49.974668665137),105.477061,21.085254,PQ,
DongPhuYen PSH,50,EVN,EVN,substation,500.0,SRID=4326;POINT(8.41937105938048 49.6337356823792),104.60591600000001,21.248271,PQ,
LongBien,50,EVN,EVN,substation,500.0,SRID=4326;POINT(8.38855636787547 49.9823050841271),105.888658,21.019871,PQ,
ThaiNguyen,50,EVN,EVN,substation,500.0,SRID=4326;POINT(12.2621734868101 51.7410202755519),105.809072,21.568189,PQ,
BacGiang,50,EVN,EVN,substation,500.0,SRID=4326;POINT(11.8942661378135 51.4057031412478),106.198229,21.292583999999998,PQ,
QuynhLapT,50,EVN,EVN,substation,500.0,SRID=4326;POINT(13.1570904871893 51.8284516615019),105.784838,19.28,PQ,
BinhDinh,50,EVN,EVN,substation,500.0,SRID=4326;POINT(13.9024346886892 51.8747235190459),109.188953,14.105120000000001,PQ,
DonDuong PSH,50,EVN,EVN,substation,500.0,SRID=4326;POINT(11.5165549672107 51.5843592098734),108.62345800000001,11.853814,PQ,
TayNinh2,50,EVN,EVN,substation,500.0,SRID=4326;POINT(8.70221844882815 51.7363525828065),106.208978,11.059055,PQ,
TienGiang,50,EVN,EVN,substation,500.0,SRID=4326;POINT(8.99279240395088 51.343009397907),106.387418,10.36647,PQ,
DongThap,50,EVN,EVN,substation,500.0,SRID=4326;POINT(11.6463786274424 50.534876971042),105.574128,10.759628,PQ,
BacLieu,50,EVN,EVN,substation,500.0,SRID=4326;POINT(14.4719654742998 51.5538127185923),105.564493,9.171695,PQ,
